Id,Comment,Review
101,Yeh koi badi baat nahi hai. ,-1
102,Iske baare mein main nirbhik hoon. ,-1
103,Main nahi janta ki iske baare mein kaisa mahsus karta hoon. ,-1
104,Main iske baare mein nirbhik hoon. ,-1
105,Iska koi bada mayne nahi hai. ,-1
106,Yeh naya updates pasand hai! Bahut badiya kaam! ,1
107,Aage kya dekhne ke liye utsaahit! ,1
108,Purane se sudhar par zabardast kaam! ,1
109,Tumhari shabdon se prerna milti hai! ,1
110,Aise utharne wali sandesh! ,1
111,Tumhari videos se maza aa raha hai! ,1
112,Yeh delivery mein der se khush nahi hoon. ,0
113,Yeh nirasha janak khabar hai. ,0
114,Quality se impress nahi hoon. ,0
115,Traffic se naraaz hoon. ,0
116,Itna samay barbaad. ,0
117,Main entertain nahi hoon. ,0
118,"Yeh thik hai, lagta hai. ",-1
119,Na toh accha na bura. ,-1
120,Iske baare mein main nirbhik hoon. ,-1
121,Main iske baare mein nahi janta ki kaisa mahsus karta hoon. ,-1
122,"Yeh thik hai, maine socha. ",-1
123,Main iske baare mein nirbhik hoon. ,-1
124,Naya feature pasand hai! Jindagi itni aasaan ho gayi hai. ,1
125,Latest update ko try karne ke liye utsaahit! ,1
126,Yeh uttam khabar hai! ,1
127,Tumhari shabdon se prerna milti hai! ,1
128,Aise utharne wali sandesh! ,1
129,Tumhari videos se maza aa raha hai! ,1
130,Yeh delivery mein der se khush nahi hoon. ,0
131,Yeh nirasha janak khabar hai. ,0
132,Quality se impress nahi hoon. ,0
133,Traffic se naraaz hoon. ,0
134,Itna samay barbaad. ,0
135,Main entertain nahi hoon. ,0
136,"Yeh thik hai, lagta hai. ",-1
137,Na toh accha na bura. ,-1
138,Iske baare mein main nirbhik hoon. ,-1
139,Main iske baare mein nahi janta ki kaisa mahsus karta hoon. ,-1
140,"Yeh thik hai, maine socha. ",-1
141,Main iske baare mein nirbhik hoon. ,-1
142,Naya feature pasand hai! Jindagi itni aasaan ho gayi hai. ,1
143,Latest update ko try karne ke liye utsaahit! ,1
144,Yeh uttam khabar hai! ,1
145,Tumhari shabdon se prerna milti hai! ,1
146,Aise utharne wali sandesh! ,1
147,Tumhari videos se maza aa raha hai! ,1
148,Yeh delivery mein der se khush nahi hoon. ,0
149,Yeh nirasha janak khabar hai. ,0
150,Quality se impress nahi hoon. ,0
151,Traffic se naraaz hoon. ,0
152,Itna samay barbaad. ,0
153,Main entertain nahi hoon. ,0
154,"Yeh thik hai, lagta hai. ",-1
155,Na toh accha na bura. ,-1
156,Iske baare mein main nirbhik hoon. ,-1
157,Main iske baare mein nahi janta ki kaisa mahsus karta hoon. ,-1
158,"Yeh thik hai, maine socha. ",-1
159,Main iske baare mein nirbhik hoon. ,-1
160,Yeh lajawab hai! Main tumhare liye bahut khush hoon. ,1
161,Aur khush nahi ho sakta!,1
162,Aise jit! ,1
163,Main akash mein ud raha hoon!,1
164,Yeh mera din bana diya!,1
165,Main iske baad thoda niche mahsoos kar raha hoon. ,0
166,Woh nahi mila jo main ummeed kar raha tha. ,0
167,Nirasha mein hoon. ,0
168,Nirasha mein hoon. ,0
169,Pis gaya hoon.,0
170,Mujhe isse kuch khaas nahi. ,-1
171,Yeh koi badi baat nahi hai. ,-1
172,Main iske baare mein nirbhik hoon. ,-1
173,Main iske baare mein kisi mazboot raay nahi rakhta. ,-1
174,"Main iske baare mein kaisa mahsus karta hoon, mujhe nahi pata. ",-1
175,Main iske baare mein nirbhik hoon. ,-1
176,Iska koi bada mayne nahi hai. ,-1
177,Yeh lajawab hai! 😍,1
178,Bahut khush hoon!,1
179,Aise jeet! ,1
180,Mujhe is baat se upar khushi nahi hai!,1
181,Yeh meri din bana diya!,1
182,Main is baat se neeche mahsoos kar raha hoon. ,0
183,Main isse ummida nahi tha. ,0
184,Main isse ummida nahi tha.,0
185,Main is baat se gira hoon.,0
186,Main krodhit hoon.,0
187,Main is baat se bhaavuk hoon.,0
188,Main iske baare mein nirbhik hoon. ,-1
189,Iska koi bada mayne nahi hai. ,-1
190,Pyara shot! ,1
191,Karigar kaam! ,1
192,Shandar tasveer! ,1
193,Brilliant! ,1
194,Bilkul khoobsurat! ,1
195,Aise pyaara photo! ,1
196,Mujhe yeh pasand nahi. 😒,0
197,Yeh achha nahi hai. ,0
198,Nirasha janak quality. ,0
199,Mujhe yeh se dilchaspi nahi hai. ,0
200,Yeh bhayanak hai. ,0
201,Main khush nahi hoon. 😞,0
202,Iske baare mein main nirbhik hoon. ,-1
203,"Yeh achha toh hai, maine socha. 😐",-1
204,Yeh keval thik hai. 😕,-1
205,Iske baare mein main nirbhik hoon. ,-1
206,"Main iske baare mein kaisa mahsus karta hoon, mujhe nahi pata. ",-1
207,Main iske baare mein nirbhik hoon. ,-1
208,Iska koi bada mayne nahi hai. ,-1
209,Pyara shot! ,1
210,Karigar kaam! ,1
211,Shandar tasveer! ,1
212,Brilliant! ,1
213,Bilkul khoobsurat! ,1
214,Aise pyaara photo! ,1
215,Mujhe yeh pasand nahi. 😒,0
216,Yeh achha nahi hai. ,0
217,Nirasha janak quality. ,0
218,Mujhe yeh se dilchaspi nahi hai. ,0
219,Yeh bhayanak hai. ,0
220,Main khush nahi hoon. 😞,0
221,Iske baare mein main nirbhik hoon. ,-1
222,"Yeh achha toh hai, maine socha. 😐",-1
223,Yeh keval thik hai. 😕,-1
224,Iske baare mein main nirbhik hoon. ,-1
225,"Main iske baare mein kaisa mahsus karta hoon, mujhe nahi pata. ",-1
226,Main iske baare mein nirbhik hoon. ,-1
227,Iska koi bada mayne nahi hai. ,-1
228,Pyara shot! ,1
229,Karigar kaam! ,1
230,Shandar tasveer! ,1
231,Brilliant! ,1
232,Bilkul khoobsurat! ,1
233,Aise pyaara photo! ,1
234,Mujhe yeh pasand nahi. 😒,0
235,Yeh achha nahi hai. ,0
236,Nirasha janak quality. ,0
237,Mujhe yeh se dilchaspi nahi hai. ,0
238,Yeh bhayanak hai. ,0
239,Main khush nahi hoon. 😞,0
240,Iske baare mein main nirbhik hoon. ,-1
241,"Yeh achha toh hai, maine socha. 😐",-1
242,Yeh keval thik hai. 😕,-1
243,Iske baare mein main nirbhik hoon. ,-1
244,"Main iske baare mein kaisa mahsus karta hoon, mujhe nahi pata. ",-1
245,Main iske baare mein nirbhik hoon. ,-1
246,Iska koi bada mayne nahi hai. ,-1
247,Yeh lajawab hai! ,1
248,Bahut khush hoon!,1
249,Aise jeet! ,1
250,Mujhe is baat se upar khushi nahi hai!,1
251,Yeh meri din bana diya!,1
252,Main is baad thoda niche mahsoos kar raha hoon. ,0
253,Woh nahi mila jo main ummeed kar raha tha. ,0
254,Nirasha mein hoon. ,0
255,Nirasha mein hoon. ,0
256,Pis gaya hoon.,0
257,Mujhe isse kuch khaas nahi. ,-1
258,Yeh koi badi baat nahi hai. ,-1
259,Main iske baare mein nirbhik hoon. ,-1
260,Main iske baare mein kisi mazboot raay nahi rakhta. ,-1
261,"Main iske baare mein kaisa mahsus karta hoon, mujhe nahi pata. ",-1
262,Main iske baare mein nirbhik hoon. ,-1
263,Iska koi bada mayne nahi hai. ,-1
264,Yeh lajawab hai! 😍,1
265,Bahut khush hoon!,1
266,Aise jeet! ,1
267,Mujhe is baat se upar khushi nahi hai!,1
268,Yeh meri din bana diya!,1
269,Main is baad thoda niche mahsoos kar raha hoon. ,0
270,Woh nahi mila jo main ummeed kar raha tha. ,0
271,Nirasha mein hoon. ,0
272,Nirasha mein hoon. ,0
273,Pis gaya hoon.,0
274,Mujhe isse kuch khaas nahi. ,-1
275,Yeh koi badi baat nahi hai. ,-1
276,Main iske baare mein nirbhik hoon. ,-1
277,Main iske baare mein kisi mazboot raay nahi rakhta. ,-1
278,"Main iske baare mein kaisa mahsus karta hoon, mujhe nahi pata. ",-1
279,Main iske baare mein nirbhik hoon. ,-1
280,Iska koi bada mayne nahi hai. ,-1
281,Pyara shot! ,1
282,Karigar kaam! ,1
283,Shandar tasveer! ,1
284,Brilliant! ,1
285,Bilkul khoobsurat! ,1
286,Aise pyaara photo! ,1
287,Mujhe yeh pasand nahi. 😒,0
288,Yeh achha nahi hai. ,0
289,Nirasha janak quality. ,0
290,Mujhe yeh se dilchaspi nahi hai. ,0
291,Yeh bhayanak hai. ,0
292,Main khush nahi hoon. 😞,0
293,Iske baare mein main nirbhik hoon. ,-1
294,"Yeh achha toh hai, maine socha. 😐",-1
295,Yeh keval thik hai. 😕,-1
296,Iske baare mein main nirbhik hoon. ,-1
297,"Main iske baare mein kaisa mahsus karta hoon, mujhe nahi pata. ",-1
298,Main iske baare mein nirbhik hoon. ,-1
299,Iska koi bada mayne nahi hai. ,-1
300,Pyara shot! ,1
301,Karigar kaam! ,1
302,Shandar tasveer! ,1
303,Brilliant! ,1
304,Bilkul khoobsurat! ,1
305,Aise pyaara photo! ,1
306,Mujhe yeh pasand nahi. 😒,0
307,Yeh achha nahi hai. ,0
308,Nirasha janak quality. ,0
309,Mujhe yeh se dilchaspi nahi hai. ,0
310,Yeh bhayanak hai. ,0
311,Main khush nahi hoon. 😞,0
312,Iske baare mein main nirbhik hoon. ,-1
313,"Yeh achha toh hai, maine socha. 😐",-1
314,Yeh keval thik hai. 😕,-1
315,Iske baare mein main nirbhik hoon. ,-1
316,"Main iske baare mein kaisa mahsus karta hoon, mujhe nahi pata. ",-1
317,Main iske baare mein nirbhik hoon. ,-1
318,Iska koi bada mayne nahi hai. ,-1
319,Tum bahut achha kar rahe ho!,1
320,Tum mera pasandida YouTuber ho!,1
321,Mujhe is video se nirash hai.,0
322,Ye mere ummeed ke khilaaf hai.,0
323,Main bilkul prabhavit nahi hua.,0
324,Sach mein is content se nirash hoon.,0
325,Aise hi samay ka vyarth hai.,0
326,Main manoranjan nahi hua.,0
327,Ye bas thik hai.,-1
328,Na accha na bura.,-1
329,Main iske prati neutral hoon.,-1
330,"Iske baare mein mujhe kaisa mahsoos ho raha hai, mujhe nahi pata.",-1
331,"Ye thik hai, mujhe lagta hai.",-1
332,Main iske prati udas hoon.,-1
333,"Mainne jo ummeed ki thi, vo nahi hai.",1
334,Nirash ho raha hoon.,1
335,Chot khayi hai.,1
336,Mujhe isse sach mein kuch nahi lagta.,1
337,Ye kuch nahi hai.,1
338,Ismein koi sanbandh nahi hai.,1
339,Ye sirf thik hai.,0
340,Main uske baare mein udas hoon.,0
341,Main ismein sandeh mein hoon.,0
342,Main ismein strong raay nahi rakhta.,0
343,Main iske prati neutral hoon.,0
344,Ye na to yahan hai na hi vahan.,0
345,Ye shot lajawab hai!,-1
346,Bas chamakta hua!,-1
347,Utkrisht kaam!,-1
348,Zehar hai!,-1
349,Bahut hi sundar tasveer!,-1
350,Aise hi ek pyaari photo!,-1
351,Main ismein ruchi nahi le raha hoon.,1
352,Ye accha nahi hai.,1
353,Nirasha janak gunvatta.,1
354,Mainne behtar ki ummeed ki thi.,1
355,Ye mujhe ruchi nahi deta.,1
356,Ye bhayanak hai.,0
357,Main nirash hoon.,0
358,"Mujhe iske baare mein kaisa mahsoos ho raha hai, mujhe nahi pata.",0
359,"Ye sadharan hai, mujhe lagta hai.",0
360,Main ismein asamajh hoon.,0
361,Main ismein niralaayak hoon.,-1
362,Main isse neutral hoon.,-1
363,Ye na to yahan hai na hi vahan.,-1
364,Ye shot lajawab hai!,-1
365,Utkrisht kaam!,-1
366,Kamaal ka!,1
367,Shandar tasveer!,1
368,Bilkul hairat angez!,1
369,Mera cup chai nahi hai. 😒,0
370,Yeh nirashajanak hai.,0
371,Mujhe prabhavit nahi kiya.,0
372,Giravat bhari kvaliti.,0
373,Mujhe ismein koi dilchaspi nahi hai.,0
374,Yeh bhayanak hai.,0
375,Mujhe santusht nahi hai. 😞,0
376,Iske baare mein udasin hoon.,-1
377,"Yeh theek hai, mujhe lagta hai.",-1
378,Mujhe mil jul ka anubhav hai. 🤔,-1
379,Main udasin hoon.,-1
380,Mujhe iske baare mein sure nahi hai. 🤔,-1
381,Yeh na idhar ka hai na udhar ka hai. 🤷,-1
382,Yeh shot lajawaab hai!,1
383,Bas stunni!,1
384,Mind-blowing!,1
385,Gorgeous picture! 💖,1
386,Bilkul manmohak! 😊,1
387,Yeh mere liye nahi hai.,0
388,Yeh nirashajanak hai.,0
389,Main prabhavit nahi hoon. 😕,0
390,Niche wali quality.,0
391,Mujhe ismein dilchaspi nahi hai.,0
392,Yeh bhayanak hai.,0
393,Main santusht nahi hoon. 😞,0
394,Iske baare mein neutral hoon.,-1
395,Mujhe mixed feelings hain.,-1
396,Main udas nahi hoon.,-1
397,Main iske baare mein sure nahi hoon.,-1
398,Yeh na to yahaan hai na wahaan.,-1
399,Yeh shot lajawab hai! 😍,1
400,Bas rochak hai! ✨,1
401,Anokha kaam! 👏,1
402,Udarta se bhara kaam! 🙌,1
403,Shaandaar tasveer!,1
404,"Upyogakarta.""",1
405,"""Mujhe mixed feelings hain.",1
406,Main udas nahi hoon.,0
407,Main iske baare mein sure nahi hoon.,0
408,Yeh na to yahaan hai na wahaan.,0
409,Yeh shot lajawab hai! 😍,0
410,Bas rochak hai! ✨,0
411,Anokha kaam! 👏,0
412,Udarta se bhara kaam! 🙌,0
413,Shaandaar tasveer!,-1
414,"Upyogakarta.""",-1
415,Mujhe mixed feelings hain. 🤔,-1
416,Main udas hoon.,0
417,Main iske baare mein sure nahi hoon. 🤔,-1
418,Yeh na to yahaan hai na wahaan.,-1
419,Gorgeous picture! 💖,1
420,Absolutely breathtaking! 😊,1
421,Yeh mera cup chai nahi hai.,0
422,Yeh nirasha janak hai.,0
423,Main prabhavit nahi hoon. 😕,0
424,Quality ne gira diya.,0
425,Mujhe ismein dilchaspi nahi hai.,0
426,Yeh bhayanak hai.,0
427,Main santusht nahi hoon. 😞,0
428,Is baare mein kuch khaas nahi.,-1
429,"Theek hai, lagta hai.",-1
430,Mujhe mixed feelings hain.,-1
431,Main udas hoon.,0
432,Main iske baare mein sure nahi hoon.,-1
433,Yeh na to yahaan hai na wahaan.,-1
434,Yeh shot lajawab hai! 😍,1
435,Bilkul shaandar! ✨,1
436,Anokha kaam! 👏,1
437,Mind-blowing! 🙌,1
438,Bilkul shandar kaam! 😍,1
439,Uttam kala! 👌,1
440,Yeh sachmuch jeniyas hai! ✨,1
441,Main sachmuch prabhavit hoon! 👏,1
442,Bilkul jaw-dropping! 💖,1
443,Dhoom macha diya hai talent ke saath! 🌟,1
444,Tumne apne aap ko peechhe chhoda hai! 🎉,1
445,Bahut prerna dayak hai! 💫,1
446,Yeh asardar hai! 🙌,1
447,Pura charmakar! 🌈,1
448,Yeh sabse achha hai! 💪,1
449,Bilkul anokha hai! 👍,1
450,Main ud gaya hoon! 🚀,1
451,Yeh ek mahakavya hai! 🎨,1
452,Incredibly beautiful! 😊,1
453,Shuddh perfection!,1
454,Mujhe isse pyaar hai! 💖,1
455,Bilkul zabardast! 😲,1
456,Yeh jaadui hai! ✨,1
457,Tum ek asli hunar ho! 👏,1
458,Bravo! 👏,1
459,Yeh kala hai! 🖼️,1
460,Itna mahir dikhaya gaya hai! 💪,1
461,Main khamosh hoon! 😶,1
462,Yeh asardar kaam hai! 🌟,1
463,Tumne toh kar dikhaya!,1
464,Yeh saans le lete hain!,1
465,Sachmuch kamaal hai!,1
466,Bilkul nirdosh! 💖,1
467,Bahut prabhavshali!,1
468,Yeh lajawab hai!,1
469,Main hairaan hoon!,1
470,Itni rachnatmakta!,1
471,Tumne mera dil jeet liya!,1
472,Yeh shudhh khushi hai!,1
473,Main prerna prapt hua hoon!,1
474,Aise hunar! ,1
475,Bilkul jabardast!,1
476,Yeh anokha hai!,1
477,Tumne saare ummeedon ko paar kiya hai! 🚀,1
478,Main isse hairaan hoon! 😲,1
479,Bilkul shandar! 👌,1
480,Yeh ek chamatkar hai! 🧠,1
481,Main tumhare hunar se vahmi hoon!,1
482,Main lafzon se pare impress hua hoon!,1
483,Tumhare paas ek uphaar hai! 🎁,1
484,Bilkul kamaal hai!,1
485,Yeh saccha sona hai! 💛,1
486,Main iska har hissa pyaar kar raha hoon! 💖,1
487,Tum ek sitara ho! ⭐,1
488,Yeh sabse acchi line hai!,1
489,Uttam kaam!,1
490,Yeh ek jaadu hai!,1
491,Bilkul shandar!,1
492,Yeh dilchasp hai!,1
493,Tum ek asli kalakar ho!,1
494,Main vahmi hoon!,1
495,Tumhare paas gambhir hunar hai!,1
496,Main isse pyaar kar raha hoon! 💖,1
497,Bilkul hairaan kar dene waala! 😍,1
498,Yeh agle level ka hai!,1
499,Tum rukne ka naam nahi lete!,1
500,Yeh ek legend hai!,1
501,Tum ek rachnatmak mahagyaan ho!,1
502,Yeh lajawab hai!,1
503,Main impress hua hoon!,1
504,Yeh ek khushi ka bhandar hai!,1
505,Tum ek ustaad ho!,1
506,Bilkul brilliant! 👏,1
507,Yeh ek kala ka kaam hai! 🖼️,1
508,Tum aag mein ho! 🔥,1
509,Main tumhare hunar se vahmi hoon! 🤩,1
510,Yeh lajawab hai! 😍,1
511,Tumhare paas sona ka sparsh hai!,1
512,Bilkul jabardast kaam! 💫,1
513,Yeh ek mahakavya hai!,1
514,Tumhare paas jaadu ki sparsh hai!,1
515,Yeh adbhut hai!,1
516,Tumhare paas gambhir kalaaye hain!,1
517,Bilkul dil ko choo lene wala hai!,1
518,Yeh sach mein nirvana hai! 💖,1
519,Tum lajawab ho!,1
520,Yeh ek chamatkar hai!,1
521,Tum ek asli prerna ho!,1
522,Bilkul dil ko chhoo lene wala hai!,1
523,Yeh ek durlabh hai! 🏆,1
524,Tum ek rachnatmak shakti ho!,1
525,Yeh rah jaane waala hai! 😲,1
526,Tum ek asli kalpana-shil ho! 🌈,1
527,Yeh ek jaadu hai! ✨,1
528,Tumhare paas Midas ka sparsh hai!,1
529,Bilkul adbhut hai!,1
530,Yeh top-notch hai!,1
531,Tum ek asli hunar ho,1
532,Yeh lajawab hai! 🤯,1
533,Tum ek alag star par ho! 🚀,1
534,Yeh dimaag ko hila dene waala hai! 🤯,1
535,Tum ek rachnatmak mahagyaan ho!,1
536,Yeh bilkul lajawab hai!,1
537,Adbhut kaam! 💯,1
538,Mujhe prabhavit nahi kiya.,0
539,Niraashajanak parinaam.,0
540,Maine behtar kvaliti ka anumaan rakha tha.,0
541,Yeh kami reh gayi hai.,0
542,Main isse santusht nahi hoon.,0
543,Niche gir gaya pradarshan. 😕,0
544,Yeh bas average hai.,0
545,Main ise mehsoos nahi kar raha hoon.,0
546,Yeh adhik nahi hai.,0
547,Yeh nirashajanak hai. 😞,0
548,Pariksha mein nahi hai.,0
549,Yeh mere ummeedon ko nahi poora karta. 😕,0
550,Yeh mujhe prabhavit nahi karta.,0
551,Main isse bahut khush nahi hoon.,0
552,Yeh nirashajanak hai. 😞,0
553,Main isse bhaari nahi hoon.,0
554,Yeh madhyama hai.,0
555,Yeh par se neeche hai.,0
556,Yeh kuch khaas nahi hai.,0
557,Yeh nirashajanak hai. 😞,0
558,Main bilkul prabhavit nahi hoon.,0
559,Yeh asantoshjanak hai.,0
560,Main prabhavit nahi hoon. 😕,0
561,Yeh akarshit nahi hai. 😕,0
562,Yeh akarshanheen hai.,0
563,Maine adhik ummeed ki thi.,0
564,Yeh bas theek hai.,0
565,Yeh niralaabh hai.,0
566,Yeh behtar mein madhyama hai.,0
567,Yeh waisa nahi hai jaise maine ummeed ki thi. 😔,0
568,Yeh nirasha janak khabar hai.,0
569,Yeh thoda nirasha janak hai.,0
570,Yeh kaafi nirasha janak hai.,0
571,Main zyada prabhavit nahi hoon.,0
572,Yeh bahut prabhavit nahi hai.,0
573,Yeh mere chai ka cup nahi hai.,0
574,Yeh waisa nahi hai jaise maine ummeed ki thi.,0
575,Main is parinaam se santusht nahi hoon. 😔,0
576,Yeh thoda nirasha janak hai.,0
577,Yeh madhyama mein lajawab hai. 😕,0
578,Yeh kaafi nirakshar hai. 😐,0
579,Yeh mere maapdaand ke anuroop nahi hai.,0
580,Yeh vishesh roop se prabhavit nahi hai.,0
581,Yeh madhyama hai.,0
582,Yeh khaas taur par akarshak nahi hai. 😞,0
583,Yeh khaas taur par lajawab nahi hai. 😒,0
584,Yeh bahut vichitra hai.,0
585,Yeh khaas taur par lajawab nahi hai.,0
586,Yeh abhyantar hai.,0
587,Yeh khaas taur par lajawab nahi hai.,0
588,Yeh khaas taur par akarshak nahi hai.,0
589,Yeh khaas taur par akarshak nahi hai.,0
590,Yeh bahut prabhavit nahi hai. 😔,0
591,Yeh khaas taur par akarshak nahi hai.,0
592,Yeh khaas taur par abhyantar nahi hai.,0
593,Yeh khaas taur par akarshak nahi hai. 😞,0
594,Yeh khaas taur par lajawab nahi hai. 😕,0
595,Yeh khaas taur par vichitra nahi hai. 😒,0
596,Yeh bahut abhutpurva nahi hai.,0
597,Yeh khaas taur par vichitra nahi hai.,0
598,Yeh thoda madhyama hai. 😐,0
599,Yeh khaas taur par lajawab nahi hai.,0
600,Yeh khaas taur par lajawab nahi hai.,0
601,Yeh khaas taur par yaadagar nahi hai.,0
602,Yeh khaas taur par yaadagar nahi hai.,0
603,Yeh bahut yaadagar nahi hai.,0
604,Yeh thoda saadhaaran hai.,0
605,Yeh khaas taur par akarshak nahi hai. 😞,0
606,Yeh khaas taur par niralaabh hai.,0
607,Yeh khaas taur par akarshak nahi hai. 😔,0
608,Yeh thoda saadhaaran hai.,0
609,Yeh khaas taur par prabhavit nahi hai. 😔,0
610,Yeh thoda saadhaaran hai.,0
611,Yeh thoda niraakarshak hai. 😞,0
612,Yeh thoda bekar hai. 😞,0
613,Yeh bahut hi nirasha janak hai. 😞,0
614,Yeh ashaaon se kam hai. 😕,0
615,Maine is par zyada ummeed ki thi. 😔,0
616,Purii tarah se prabhavit nahi hoon. 😒,0
617,Yeh ek poori viphalta hai. 😴,0
618,Viphal gunavatta. 😔,0
619,Kaafi asantoshajanak. 😕,0
620,Main poora roop se nirasha mein hoon. 😞,0
621,Yeh seedha saadhaaran hai. 😠,0
622,Samapt se neeche gir gaya. 😞,0
623,Khatarnaak gunavatta. 😔,0
624,Behad asantoshajanak. 😕,0
625,Main poori tarah se nirash hoon. 😞,0
626,Yeh seedha saadhaaran hai. 😞,0
627,"Nirasha janak, kehne ke liye kam hai. 😞",0
628,Nirakshar mein bhavuk. 😒,0
629,Yeh poori tarah se buraa hai. 😞,0
630,Dhyan se dekho toh kuch nahi hai. 😕,0
631,Maine isse zyada ummeed ki thi. 😔,0
632,Yeh poori tarah se nirasha janak hai. 😞,0
633,Yeh sabse bada asantosh hai. 😞,0
634,Kaafi nirakshar. 😕,0
635,Bhavuk mein bahut kami hai. 😔,0
636,Main poori tarah se prabhavit nahi hoon. 😕,0
637,Yeh bas nahi chal raha. 😞,0
638,Kaafi nirasha janak. 😞,0
639,Vishesh roop se akarshak nahi hai. 😔,0
640,Behad nirasha janak. 😞,0
641,Main is par poora adhikar nahi kiya ja sakta. 😞,0
642,Yeh ashaa se kam hai. 😞,0
643,Kaafi nirasha janak. 😔,0
644,Yeh vishesh roop se viksit nahi hai. 😞,0
645,Yeh ek poori viphalta hai. 😞,0
646,Kya nirasha! 😔,0
647,Maine iske liye uchit ummeed ki thi. 😕,0
648,Poora prabhavit nahi hoon. 😒,0
649,Yeh ek poori flop hai. 😴,0
650,Pratikool gunavatta. 😔,0
651,Behad asantoshajanak. 😕,0
652,Main poora nirash hoon. 😞,0
653,Yeh bas seedha saadhaaran hai. 😠,0
654,Maine isse zyada ummeed ki thi. 😔,0
655,Main iske saath bilkul nahi hoon. 😔,0
656,Yeh bas kaafi nahi hai. 😞,0
657,Aakarshan mein behad kami hai. 😔,0
